Grapheme	IPA	notes
àà	àː
áá	áː
àá	ǎː
áà	âː
ààⁿ	ã̀ː
ááⁿ	ã́ː
àáⁿ	ã̌ː
áàⁿ	ã̂ː
ɔ̀ɔ̀	ɔ̀ː
ɔ́ɔ́	ɔ́ː
ɔ̀ɔ́	ɔ̌ː
ɔ́ɔ̀	ɔ̂ː
ɔ̀ɔ̀ⁿ	ɔ̃̀ː
ɔ́ɔ́ⁿ	ɔ̃́ː
ɔ̀ɔ́ⁿ	ɔ̃̌ː
ɔ́ɔ̀ⁿ	ɔ̃̂ː
ɛ̀ɛ̀	ɛ̀ː
ɛ́ɛ́	ɛ́ː
ɛ̀ɛ́	ɛ̌ː
ɛ́ɛ̀	ɛ̂ː
ɛ̀ɛ̀ⁿ	ɛ̃̀ː
ɛ́ɛ́ⁿ	ɛ̃́ː
ɛ̀ɛ́ⁿ	ɛ̃̌ː
ɛ́ɛ̀ⁿ	ɛ̃̂ː
èè	èː
éé	éː
èé	ěː
éè	êː
èèⁿ	ẽ̀ː
ééⁿ	ẽ́ː
èéⁿ	ẽ̌ː
éèⁿ	ẽ̂ː
ɪ̀ɪ̀	ɪ̀ː
ɪ́ɪ́	ɪ́ː
ɪ̀ɪ́	ɪ̌ː
ɪ́ɪ̀	ɪ̂ː
ɪ̀ɪ̀ⁿ	ɪ̃̀ː
ɪ́ɪ́ⁿ	ɪ̃́ː
ɪ̀ɪ́ⁿ	ɪ̃̌ː
ɪ́ɪ̀ⁿ	ɪ̃̂ː
ĩ́ĩ́	ĩ́ː	Used by Hantgan
ĩ́ĩ̀	ĩ̂ː	Used by Hantgan
ìì	ìː
íí	íː
ìí	ǐː
íì	îː
ììⁿ	ĩ̀ː
ííⁿ	ĩ́ː
ìíⁿ	ĩ̌ː
íìⁿ	ĩ̂ː
ĩ̀ĩ́	ĩ̌ː	Nasalized vowels used by Hantgan
òò	òː
óó	óː
òó	ǒː
óò	ôː
òòⁿ	õ̀ː
óóⁿ	ṍː
òóⁿ	õ̌ː
óòⁿ	õ̂ː
ùù	ùː
úú	úː
ùú	ǔː
úù	ûː
ùùⁿ	ũ̀ː
úúⁿ	ṹː
ùúⁿ	ũ̌ː
úùⁿ	ũ̂ː
à	à
á	á
ǎ	ǎ
a:	aː
à:	àː
á:	áː
ǎ:	ǎː
aⁿ	ã
àⁿ	ã̀
áⁿ	ã́
ǎⁿ	ã̌
á:ⁿ	ã́ː
à:ⁿ	ã̀ː
âⁿ	ã̂
ǎ:ⁿ	ã̌ː
â:ⁿ	ã̂ː
âⁿ:	ã̌ː	typo? (occurs only once)
â	â
â:	âː
a᷈	a᷈
a᷈:	a᷈ː
a᷈:ⁿ	ã᷈ː
á"	á	typo?
à"	à	typo?
a	a
æ̀	æ̀
ǽ	ǽ
æ̂	æ̂
ǽⁿ	æ̃́
ǽ:ⁿ	æ̃́ː
æ̀:ⁿ	æ̃̀ː
æ̂:ⁿ	æ̃̂ː
b	b
bʷ	bʷ	In Bangime
ɓ	ɓ
c	tʃ
ć	tʃ	occurs only once
d	d
dʷ	dʷ
ɗ	ɗ
e	e
é	é
è	è
ê	ê
ě	ě
e:	eː
é:	éː
è:	èː
ě:	ěː
ê:	êː
eⁿ	ẽ
èⁿ	ẽ̀
éⁿ	ẽ́
ěⁿ	ẽ̌
è:ⁿ	ẽ̀ː
é:ⁿ	ẽ́ː
ě:ⁿ	ẽ̌ː
e᷈	e᷈
e᷈:	e᷈ː
ɛ	ɛ
ɛ:	ɛː
ɛ̀	ɛ̀
ɛ́	ɛ́
ɛ̌	ɛ̌
ɛ̌:	ɛ̌ː
ɛ́:	ɛ́ː
ɛ̀:	ɛ̀ː
ɛ̃	ɛ̃
ɛ᷈	ɛ᷈
ɛ᷈:	ɛ᷈ː
ɛ̂	ɛ̂
ɛ̂:	ɛ̂ː
ɛⁿ	ɛ̃
ɛ̀ⁿ	ɛ̃̀
ɛ́ⁿ	ɛ̃́
ɛ̌ⁿ	ɛ̃̌
ɛ̂ⁿ	ɛ̃̂
ɛ́:ⁿ	ɛ̃́ː
ɛ̀:ⁿ	ɛ̃̀ː
ɛ̂:ⁿ	ɛ̃̂ː
ɛ̌:ⁿ	ɛ̃̌ː
ɛ̃́	ɛ̃́
ɛ̃̀	ɛ̃̀
ɛ᷈:ⁿ	ɛ̃᷈ː
ɛ̄	ɛ	typo?
È	ɛ̀	typo?
ə́	ə́
ə̀	ə̀
f	f
g	ɡ
ɡ	ɡ	Correct IPA used by Abbie Hantgan
ǵ	ɡ
ɡʷ	ɡʷ	In Bangime
ɣ	ɣ
ʔ	ʔ
ʔⁿ	ʔ	treating as glottal for time being
h	h
hʷ	hʷ
i	i
i:	iː
í	í
ì	ì
ǐ	ǐ
î	î
í:	íː
i:́	íː	typo?
ì:	ìː
i:̀	ìː	typo?
î:	îː
ǐ:	ǐː
iⁿ	ĩ
iⁿ̀	ĩ̀	typo?
ìⁿ	ĩ̀
íⁿ	ĩ́
íⁿ̀	ĩ́	typo?
î:ⁿ	ĩ̂ː
í:ⁿ	ĩ́ː
ì:ⁿ	ĩ̀ː
ǐⁿ	ĩ̌
îⁿ	ĩ̂
í̀:ⁿ	ĩ́ː	typo?
ǐ:ⁿ	ĩ̌ː
î"	î	typo?
i᷈:ⁿ	ĩ᷈ː
i᷈:	i᷈
í̀	í	typo?
ɪ̀	ɪ̀	In Sangha So
ɪ́	ɪ́	In Sangha So
j	dʒ
ʄ	ʄ	voiced palatal implosive
k	k
ḱ	k	typo
kʷ	kʷ
l	l
l̀	l	typo?
l:	lː
m	m
m̀:	m̀ː
m̀ᵇ	m̀	what's this?
:m	m	typo?
m̀	m̀
ḿ	ḿ
n	n
nⁿ	n
ǹ	ǹ
Ǹ	ǹ	Collapse archiphoneme simply to n
Ǹ-	ǹ	Collapse archiphoneme simply to n
