ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
1	-teen ('11' to '19')	Ben_Tey	sâ:	s âː
2	-teen ('11' to '19')	Dogul_Dom	sìgà	s ì ɡ à
3	-teen ('11' to '19')	Gourou	sáɣà	s á ɣ à
4	-teen ('11' to '19')	Jamsay_Douentza	sáɣà	s á ɣ à
5	-teen ('11' to '19')	Najamba	sìgà	s ì ɡ à
6	-teen ('11' to '19')	Nanga	ságâ	s á ɡ â
7	-teen ('11' to '19')	Penange	níY	n í
8	-teen ('11' to '19')	Perge_Tegu	ságà	s á ɡ à
9	-teen ('11' to '19')	Tebul_Ure	sàgà	s à ɡ à
10	-teen ('11' to '19')	Tiranige	sùgɔ́	s ù ɡ ɔ́
11	-teen ('11' to '19')	Togo_Kan	ságà	s á ɡ à
12	-teen ('11' to '19')	Tommo_So	pɛ́lúgógó sígɛ́	p ɛ́ l ú ɡ ó ɡ ó # s í ɡ ɛ́
13	-teen ('11' to '19')	Yanda_Dom	sî:	s îː
14	-teen ('11' to '19')	Yorno_So	sìgɛ̀	s ì ɡ ɛ̀
15	-teen ('11' to '19')	Donno_So	sìgɛ̀	s ì ɡ ɛ̀
16	(1Pl alienable possessor, all forms)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́
17	(1Pl alienable possessor, all forms)	Nanga	î: gɔ̀	îː # ɡ ɔ̀
18	(1Pl alienable possessor, all forms)	Nanga	î: yɛ̀	îː # j ɛ̀
19	(1Pl alienable possessor, all forms)	Perge_Tegu	í	í
20	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀	í ɡ ɛ̀
21	(1Pl alienable possessor, all forms)	Tebul_Ure	ígɛ̀mbɔ̀	í ɡ ɛ̀ m b ɔ̀
22	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ́	n ì w ɛ́
23	(1Pl alienable possessor, all forms)	Tiranige	nìwɛ̀	n ì w ɛ̀
24	(1Pl alienable possessor, all forms)	Yanda_Dom	yɛ̂:ⁿ	j ɛ̃̂ː
25	(1Pl alienable possessor, all forms)	Yorno_So	ɛ̀mɛ̀	ɛ̀ m ɛ̀
26	(1Pl alienable possessor, all forms)	Donno_So	ɛ̀m-mɔ̀	ɛ̀ m m ɔ̀
27	(1Pl all-purpose possessor)	Ampari	nì	n ì
28	(1Pl all-purpose possessor)	Ben_Tey	î:	îː
29	(1Pl all-purpose possessor)	Bunoge	ŋ́	ŋ́
30	(1Pl all-purpose possessor)	Najamba	í	í
31	(1Pl all-purpose possessor)	Najamba	í bɔ̀	í # b ɔ̀
32	(1Pl all-purpose possessor)	Najamba	í yɛ̀	í # j ɛ̀
33	(1Pl all-purpose possessor)	Penange	m̀bè	m̀ b è
34	(1Pl all-purpose possessor)	Penange	m̀:	m̀ː
35	(1Pl all-purpose possessor)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́
36	(1Pl all-purpose possessor)	Tomo_Kan_Segue	bè	b è
37	(1Pl all-purpose possessor)	Toro_Tegu	í	í
