ID,CONCEPT,DOCULECT,COUNTERPART
1,-teen ('11' to '19'),Ben_Tey,sâ:
2,-teen ('11' to '19'),Dogul_Dom,sìgà
3,-teen ('11' to '19'),Gourou,sáɣà
4,-teen ('11' to '19'),Jamsay_Douentza,sáɣà
5,-teen ('11' to '19'),Najamba,sìgà
6,-teen ('11' to '19'),Nanga,ságâ
7,-teen ('11' to '19'),Penange,níY
8,-teen ('11' to '19'),Perge_Tegu,ságà
9,-teen ('11' to '19'),Tebul_Ure,sàgà
10,-teen ('11' to '19'),Tiranige,sùgɔ́
11,-teen ('11' to '19'),Togo_Kan,ságà
12,-teen ('11' to '19'),Tommo_So,pɛ́lúgógó sígɛ́
13,-teen ('11' to '19'),Yanda_Dom,sî:
14,-teen ('11' to '19'),Yorno_So,sìgɛ̀
15,-teen ('11' to '19'),Donno_So,sìgɛ̀
16,"(1Pl alienable possessor, all forms)",Jamsay_Douentza,ɛ́mɛ́
17,"(1Pl alienable possessor, all forms)",Nanga,î: gɔ̀
18,"(1Pl alienable possessor, all forms)",Nanga,î: yɛ̀
19,"(1Pl alienable possessor, all forms)",Perge_Tegu,í
20,"(1Pl alienable possessor, all forms)",Tebul_Ure,ígɛ̀
21,"(1Pl alienable possessor, all forms)",Tebul_Ure,ígɛ̀mbɔ̀
22,"(1Pl alienable possessor, all forms)",Tiranige,nìwɛ́
23,"(1Pl alienable possessor, all forms)",Tiranige,nìwɛ̀
24,"(1Pl alienable possessor, all forms)",Yanda_Dom,yɛ̂:ⁿ
25,"(1Pl alienable possessor, all forms)",Yorno_So,ɛ̀mɛ̀
26,"(1Pl alienable possessor, all forms)",Donno_So,ɛ̀m-mɔ̀
27,(1Pl all-purpose possessor),Ampari,nì
28,(1Pl all-purpose possessor),Ben_Tey,î:
29,(1Pl all-purpose possessor),Bunoge,ŋ́
30,(1Pl all-purpose possessor),Najamba,í
31,(1Pl all-purpose possessor),Najamba,í bɔ̀
32,(1Pl all-purpose possessor),Najamba,í yɛ̀
33,(1Pl all-purpose possessor),Penange,m̀bè
34,(1Pl all-purpose possessor),Penange,m̀:
35,(1Pl all-purpose possessor),Togo_Kan,ɛ́mɛ́
36,(1Pl all-purpose possessor),Tomo_Kan_Segue,bè
37,(1Pl all-purpose possessor),Toro_Tegu,í
38,(1Pl inalienable possessor),Jamsay_Douentza,ɛ̀mɛ̀
39,(1Pl inalienable possessor),Nanga,î:
40,(1Pl inalienable possessor),Perge_Tegu,ì
41,(1Pl inalienable possessor),Tebul_Ure,í
42,(1Pl inalienable possessor),Tiranige,nì
43,(1Pl inalienable possessor),Yanda_Dom,yè
44,(1Pl inalienable possessor),Yorno_So,émɛ́
45,(1Pl inalienable possessor),Donno_So,ɛ́mmɛ̀
46,(1Pl independent pronoun),Ampari,ní
47,(1Pl independent pronoun),Ben_Tey,î:
48,(1Pl independent pronoun),Bunoge,mìyá
49,(1Pl independent pronoun),Jamsay_Douentza,ɛ́mɛ́
50,(1Pl independent pronoun),Najamba,í
51,(1Pl independent pronoun),Nanga,î:
52,(1Pl independent pronoun),Penange,ḿbé
53,(1Pl independent pronoun),Perge_Tegu,í
54,(1Pl independent pronoun),Tebul_Ure,í
55,(1Pl independent pronoun),Tiranige,nì
56,(1Pl independent pronoun),Tiranige,níwⁿ
57,(1Pl independent pronoun),Togo_Kan,ɛ́mɛ́
58,(1Pl independent pronoun),Tomo_Kan_Segue,bé
59,(1Pl independent pronoun),Toro_Tegu,í
60,(1Pl independent pronoun),Yanda_Dom,yé
61,(1Pl independent pronoun),Yorno_So,émɛ́
62,(1Pl independent pronoun),Dogul_Dom,í
63,(1Pl independent pronoun),Donno_So,ɛ́mmɛ̀
64,(1Pl subject pronominal),Ampari,ǹ
65,(1Pl subject pronominal),Ben_Tey,ỳ∴
66,(1Pl subject pronominal),Bunoge,ŋ́
67,(1Pl subject pronominal),Jamsay_Douentza,y
68,(1Pl subject pronominal),Najamba,y
69,(1Pl subject pronominal),Nanga,ỳ∴
70,(1Pl subject pronominal),Penange,ŋ̀
71,(1Pl subject pronominal),Perge_Tegu,y
72,(1Pl subject pronominal),Tebul_Ure,yⁿ
73,(1Pl subject pronominal),Tiranige,ní
74,(1Pl subject pronominal),Tiranige,nì
75,(1Pl subject pronominal),Togo_Kan,ɛ́mɛ́
76,(1Pl subject pronominal),Tomo_Kan_Segue,bè
77,(1Pl subject pronominal),Toro_Tegu,í
78,(1Pl subject pronominal),Yanda_Dom,y
79,(1Pl subject pronominal),Mombo,Ǹ-
80,(1Pl subject pronominal),Tomo_Kan_Diangassagou,à
81,(1Pl subject pronominal),Donno_So,-ŋ
82,(1Pl subject pronominal),Donno_So,-ʸŋ
83,"(1Sg accusative, irregular only)",Nanga,ǹjíŋ
